,address_components,formatted_address,place_id,types,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng,geometry.location.lat,geometry.location.lng,geometry.location_type,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,partial_match
28,"[{'long_name': 'Farol', 'short_name': 'Farol', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Farol, Belém - PA, Brazil",ChIJuTKfRbQUpJIRcAIjujFpypo,"['political', 'sublocality', 'sublocality_level_1']",-1.132551,-48.4579619,-1.1425682,-48.468339,-1.1359532,-48.464049,APPROXIMATE,-1.132551,-48.4579619,-1.1425682,-48.468339,
29,"[{'long_name': 'Fátima', 'short_name': 'Fátima', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Fátima, Belém - PA, Brazil",ChIJ4V1AYhmMpJIRy-RM0OCYrCY,"['political', 'sublocality', 'sublocality_level_1']",-1.4373209,-48.4689819,-1.4466619,-48.4762168,-1.4419666,-48.4724789,APPROXIMATE,-1.4373209,-48.4689819,-1.4466619,-48.4762168,
30,"[{'long_name': 'Guamá', 'short_name': 'Guamá', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Guamá, Belém - PA, Brazil",ChIJKQzC1siNpJIRcEKYXF3Lt0I,"['political', 'sublocality', 'sublocality_level_1']",-1.4551979,-48.45259979999999,-1.4806045,-48.47350489999999,-1.463889,-48.4632381,APPROXIMATE,-1.4551979,-48.45259979999999,-1.4806045,-48.47350489999999,
31,"[{'long_name': 'Guanabara', 'short_name': 'Guanabara', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Ananindeua', 'short_name': 'Ananindeua', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Guanabara, Ananindeua - PA, Brazil",ChIJ67_kId6KpJIRKMt1Wu_co_k,"['political', 'sublocality', 'sublocality_level_1']",-1.3854644,-48.4067512,-1.4090374,-48.4250584,-1.3981178,-48.42020240000001,APPROXIMATE,-1.3854644,-48.4067512,-1.4090374,-48.4250584,
32,"[{'long_name': 'Itaiteua', 'short_name': 'Itaiteua', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Itaiteua, Belém - PA, Brazil",ChIJf4OS1klmpJIRouUEiLUZYMA,"['political', 'sublocality', 'sublocality_level_1']",-1.2604439,-48.438318,-1.2789996,-48.452639,-1.2707894,-48.4462495,APPROXIMATE,-1.2604439,-48.438318,-1.2789996,-48.452639,
33,"[{'long_name': 'Jurunas', 'short_name': 'Jurunas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'State of Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Jurunas, Belém - State of Pará, Brazil",ChIJ74zZF2-OpJIR2zx2FAZ4FiQ,"['political', 'sublocality', 'sublocality_level_1']",-1.4611949,-48.4840702,-1.4803527,-48.5069342,-1.4708282,-48.4937213,APPROXIMATE,-1.4611949,-48.4840702,-1.4803527,-48.5069342,
34,"[{'long_name': 'Mangueirão', 'short_name': 'Mangueirão', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Mangueirão, Belém - PA, Brazil",ChIJtUSbaWeKpJIRqolAnywZjhs,"['political', 'sublocality', 'sublocality_level_1']",-1.371785,-48.429754,-1.3965609,-48.4625948,-1.378346,-48.4452322,APPROXIMATE,-1.371785,-48.429754,-1.3965609,-48.4625948,
35,"[{'long_name': 'Mangueiras', 'short_name': 'Mangueiras', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Mangueiras, Belém - PA, Brazil",ChIJi1AQAEJrpJIRvadcKv8ou20,"['political', 'sublocality', 'sublocality_level_1']",-1.1421568,-48.4464569,-1.1685209,-48.467492,-1.1529028,-48.4638196,APPROXIMATE,-1.1421568,-48.4464569,-1.1685209,-48.467492,
36,"[{'long_name': 'Maracacuera', 'short_name': 'Maracacuera', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Maracacuera, Belém - PA, Brazil",ChIJAWIb8_pmpJIR5SOO7yoIcIs,"['political', 'sublocality', 'sublocality_level_1']",-1.2760161,-48.4275107,-1.3024469,-48.4633449,-1.2873198,-48.4537424,APPROXIMATE,-1.2760161,-48.4275107,-1.3024469,-48.4633449,
37,"[{'long_name': 'Maracajá', 'short_name': 'Maracajá', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Maracajá, Belém - PA, Brazil",ChIJz3RTDqJrpJIRL5T4qiIZsbY,"['political', 'sublocality', 'sublocality_level_1']",-1.161514,-48.441402,-1.184255,-48.467284,-1.1650405,-48.4640164,APPROXIMATE,-1.161514,-48.441402,-1.184255,-48.467284,
