,zip/postalcode,city,neighborhood,address,Latitudes,Longitudes
164,66025-160,Belém/PA,Batista Campos,Avenida Conselheiro Furtado - até 1097/1098,-1.4605922083333336,-48.49221115
165,66025-180,Belém/PA,Jurunas,Travessa Bom Jardim - de 592 a 780 - lado par,-1.4656432000000001,-48.497723924999995
166,66025-184,Belém/PA,Jurunas,Travessa Bom Jardim - de 1215/1216 a 2079/2080,-1.47132075,-48.49109705
167,66025-188,Belém/PA,Jurunas,Travessa Bom Jardim - de 2081 ao fim - lado ímpar,-1.47513695,-48.487603125
168,66025-190,Belém/PA,Jurunas,Rua Osvaldo de Caldas Brito,-1.46830005,-48.498854124999994
169,66025-195,Belém/PA,Jurunas,Travessa Carlos de Carvalho - de 1651/1652 ao fim,-1.4729889799999998,-48.486746190000005
170,66025-210,Belém/PA,Jurunas,Avenida Bernardo Sayão - de 197/198 a 539/540,-1.469890775,-48.5003411
171,66025-212,Belém/PA,Jurunas,Travessa Monte Alegre - de 1636/1637 ao fim,-1.4728956838709677,-48.490495470967744
172,66025-214,Belém/PA,Jurunas,Avenida Bernardo Sayão - de 1354/1355 a 1794/1795,-1.47575785,-48.493126287500004
173,66025-215,Belém/PA,Jurunas,Travessa Carlos de Carvalho - de 1033/1034 a 1649/1650,-1.468766975,-48.492171775
174,66025-220,Belém/PA,Jurunas,Travessa de Breves - de 682/683 a 970/971,-1.467374675,-48.49848435
175,66025-230,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 1450/1451 a 1500/1501,-1.4601421214132149,-48.49098140073147
176,66025-273,Belém/PA,Jurunas,Travessa de Breves - de 1183/1184 a 1298/1299,-1.469642425,-48.495647925
177,66025-280,Belém/PA,Jurunas,Travessa Honório José dos Santos - até 162/163,-1.46459926,-48.49554264
178,66025-330,Belém/PA,Jurunas,Passagem da Máquina,-1.4663819249999999,-48.49446305
179,66025-400,Belém/PA,Jurunas,Travessa Monte Alegre - de 986/987 a 1090/1091,-1.4679547499999999,-48.496197766666675
180,66025-420,Belém/PA,Jurunas,Avenida Roberto Camelier - até 120/121,-1.4634365,-48.49353253333334
181,66025-422,Belém/PA,Jurunas,Vila Militar,-1.4622359,-48.4948526
182,66025-435,Belém/PA,Jurunas,Travessa Monte Alegre - de 616/617 a 984/985,-1.4667298249999998,-48.497703800000004
183,66025-442,Belém/PA,Jurunas,Avenida Roberto Camelier - de 122/123 a 284/285,-1.463937225,-48.4931367
184,66025-450,Belém/PA,Jurunas,Avenida Roberto Camelier - de 890/891 a 1196/1197,-1.46863132,-48.487223119999996
185,66025-455,Belém/PA,Jurunas,Avenida Roberto Camelier - de 746/747 a 888/889,-1.4674536999999999,-48.48872085
186,66025-460,Belém/PA,Jurunas,Avenida Roberto Camelier - de 1198/1199 a 1440/1441,-1.4702992999999998,-48.485157125
187,66025-530,Belém/PA,Jurunas,Alameda Solipa,-1.4652685,-48.495655275000004
188,66025-540,Belém/PA,Jurunas,Rua dos Tamoios - até 548/549,-1.4707611142857142,-48.499360857142854
189,66025-580,Belém/PA,Jurunas,Passagem Tomaz Rêgo,-1.46780705,-48.494185449999996
190,66025-610,Belém/PA,Jurunas,Travessa dos Tupinambás - de 392/393 a 634/635,-1.46432062,-48.4904402
191,66025-660,Belém/PA,Jurunas,Rua dos Mundurucus - até 759/760,-1.47076625,-48.497437975
192,66025-670,Belém/PA,Jurunas,Passagem Santa Fé,-1.4689797500000001,-48.500845675
193,66025-675,Belém/PA,Jurunas,Travessa de Breves - de 1300/1301 ao fim,-1.471383275,-48.493518225
194,66025-679,Belém/PA,Jurunas,Vila Rodrigues,-1.4655642999999998,-48.48555895714286
195,66025-702,Belém/PA,Jurunas,Travessa Carlos Carvalho,-1.4708227857142855,-48.48968537142857
196,66025-710,Belém/PA,Jurunas,Passagem Marcílio Dias,-1.4680466620041577,-48.500212351874524
197,66025-730,Belém/PA,Jurunas,Passagem Vila Nova,-1.4726414500000002,-48.4875275
198,66025-840,Belém/PA,Jurunas,Vila Santo Antônio,-1.471254575,-48.4855487
199,66030-000,Belém/PA,Jurunas,Travessa Carlos de Carvalho - de 860/861 a 1031/1032,-1.466603825,-48.494921700000006
200,66030-010,Belém/PA,Jurunas,Passagem Comunitária,-1.475025225,-48.48674825
201,66030-013,Belém/PA,Jurunas,Beco da Vivi (Rua São Silvestre),-1.4732090222222223,-48.49066227777777
202,66030-020,Belém/PA,Jurunas,Passagem Doutor Brito,-1.4743671,-48.48603221428572
203,66030-030,Belém/PA,Jurunas,Passagem Doutor Veiga,-1.474100582352941,-48.486515305882364
204,66030-040,Belém/PA,Jurunas,Passagem Gonçalo Duarte,-1.4669698,-48.493331825
205,66030-050,Belém/PA,Jurunas,Passagem Paulo Roberto,-1.4740351250000001,-48.487137274999995
206,66030-068,Belém/PA,Jurunas,Passagem Açaí,-1.4747050686343324,-48.492800757385616
207,66030-070,Belém/PA,Jurunas,Passagem São Domingos,-1.4692347538461539,-48.4902711076923
208,66030-120,Belém/PA,Jurunas,Avenida Bernardo Sayão - de 541/542 a 1352/1353,-1.472396653846154,-48.49748563076923
209,66030-130,Belém/PA,Jurunas,Travessa Bom Jardim - de 781/782 a 1213/1214,-1.4673673250000001,-48.495583525
210,66030-135,Belém/PA,Jurunas,Passagem Esperança,-1.4764188000000003,-48.487274075
211,66030-140,Belém/PA,Jurunas,Travessa de Breves - de 972/973 a 1181/1182,-1.4686838500000001,-48.49685155
212,66030-150,Belém/PA,Jurunas,Passagem Cacau,-1.475625125,-48.488851875
213,66030-160,Belém/PA,Jurunas,Passagem Camapu,-1.475488375,-48.490687824999995
214,66030-180,Belém/PA,Jurunas,Passagem Carlos Alberto,-1.471304825,-48.489735
215,66030-189,Belém/PA,Jurunas,Quadra A (Passagem São Miguel),-1.4642201857142858,-48.47237515714285
216,66030-191,Belém/PA,Jurunas,Quadra B (Passagem São Miguel),-1.47497625,-48.491634
217,66030-210,Belém/PA,Jurunas,Passagem Doutor Gonçalves,-1.473607425,-48.4875047
218,66030-230,Belém/PA,Jurunas,Passagem Elite,-1.4741137666666668,-48.493917966666665
219,66030-250,Belém/PA,Jurunas,Avenida Engenheiro Fernando Guilhon - até 539/540,-1.4736396,-48.492645175
220,66030-255,Belém/PA,Jurunas,Vila Santa Clara,-1.4666946125,-48.493587975000004
221,66030-260,Belém/PA,Jurunas,Passagem Guajará,-1.471859225,-48.489100625
222,66030-270,Belém/PA,Jurunas,Vila Gurjão,-1.474013725,-48.49237005
223,66030-275,Belém/PA,Jurunas,Vila São Silvestre,-1.4721844295033306,-48.487618999309724
224,66030-280,Belém/PA,Jurunas,Passagem Helena Dias,-1.4758034500000001,-48.490201025000005
225,66030-290,Belém/PA,Jurunas,Passagem Jacob,-1.4742956833333332,-48.49072847333334
226,66030-320,Belém/PA,Jurunas,Passagem Limoeiro,-1.4755263250000001,-48.489147249999995
227,66030-330,Belém/PA,Jurunas,Passagem da Luta,-1.4757042000000002,-48.48783195
228,66030-340,Belém/PA,Jurunas,Passagem Marabá,-1.4730027749999999,-48.488067325
229,66030-345,Belém/PA,Jurunas,Passagem São Silvestre,-1.473212591666667,-48.48883219166667
230,66030-350,Belém/PA,Jurunas,Vila Mata,-1.4652285,-48.4907931
231,66030-360,Belém/PA,Jurunas,Passagem Monte Alegre,-1.4748456571428572,-48.489306009523816
232,66030-370,Belém/PA,Jurunas,Travessa Monte Alegre - de 1092/1093 a 1634/1635,-1.470084175,-48.493471975
233,66030-378,Belém/PA,Jurunas,Vila São José,-1.4693393583333332,-48.49620663333334
234,66030-380,Belém/PA,Jurunas,Passagem Nossa Senhora de Fátima,-1.474570025,-48.494281975
235,66030-383,Belém/PA,Jurunas,Passagem Moura Carvalho,-1.4702008,-48.4978272
236,66030-400,Belém/PA,Jurunas,Vila Nova,-1.46932296,-48.49750134
237,66030-405,Belém/PA,Jurunas,Passagem Moraes,-1.475382475,-48.49154075
238,66030-430,Belém/PA,Jurunas,Vila da Paz,-1.4753342,-48.488124275
239,66030-460,Belém/PA,Batista Campos,Travessa Apinagés - de 570/571 a 834/835,-1.4663445333333331,-48.485417293333334
240,66030-465,Belém/PA,Batista Campos,Travessa São Pedro - de 657/658 ao fim,-1.460091525,-48.4940775
241,66030-490,Belém/PA,Jurunas,Vila Santa Cecília,-1.4730891499999998,-48.49258435
242,66030-500,Belém/PA,Jurunas,Vila Santa Lúcia,-1.4731373700000001,-48.493082349999995
243,66030-515,Belém/PA,Jurunas,Passagem União,-1.4767667,-48.4869361
244,66030-520,Belém/PA,Jurunas,Passagem Santo Onofre,-1.4740874,-48.4890202
245,66030-550,Belém/PA,Jurunas,Rua São Miguel - até 143/144,-1.47132765,-48.489088575
246,66030-570,Belém/PA,Jurunas,Rua São Silvestre - de 1101/1102 a 1299/1300,-1.4687951,-48.485224175
247,66030-575,Belém/PA,Jurunas,Rua São Silvestre - até 1099/1100,-1.471248088888889,-48.48735808888889
248,66030-580,Belém/PA,Jurunas,Passagem São Vicente de Paula,-1.4733091249999999,-48.48772534999999
249,66030-600,Belém/PA,Jurunas,Passagem Tabatinga,-1.4723948,-48.48698222
250,66030-610,Belém/PA,Jurunas,Rua Timbiras - até 514/515,-1.4722560285714288,-48.4935228
251,66030-620,Belém/PA,Jurunas,Passagem Tupã,-1.472582825,-48.4887298
252,66030-630,Belém/PA,Jurunas,Passagem Integração,-1.47531045,-48.486399049999996
253,66030-635,Belém/PA,Jurunas,Rua Timbiras - de 944/945 a 1236/1237,-1.46727345,-48.48939165
254,66030-650,Belém/PA,Jurunas,Passagem Liberdade,-1.4763323499999998,-48.4876187
255,66030-680,Belém/PA,Jurunas,Rua dos Caripunas - até 588/589,-1.4737431894736843,-48.49633550000001
256,66030-690,Belém/PA,Jurunas,Rua dos Pariquis - até 638/639,-1.4713578,-48.496124699999996
257,66030-700,Belém/PA,Jurunas,Rua dos Caripunas - de 922/923 a 1102/1103,-1.4650260666666666,-48.48873855
258,66030-705,Belém/PA,Jurunas,Rua dos Caripunas - de 1104/1105 a 1294/1295,-1.4658137400000002,-48.49005444000001
259,66030-715,Belém/PA,Jurunas,Rua dos Pariquis - de 954/955 a 1372/1373,-1.465388475,-48.4914214
260,66030-820,Belém/PA,Jurunas,Passagem Nazareno,-1.4692134000000001,-48.4953428
261,66030-830,Belém/PA,Jurunas,Passagem Sales Moreira,-1.4699212750000001,-48.49440101249999
262,66033-012,Belém/PA,Jurunas,Travessa dos Tupinambás - de 934/935 a 1290/1291,-1.46857713,-48.48529995999999
263,66033-015,Belém/PA,Jurunas,Rua São Miguel - de 145/146 a 533/534,-1.46881025,-48.487010925
264,66033-020,Belém/PA,Jurunas,Passagem Conceição (Da Av Roberto Camelier),-1.4698013,-48.486768475
265,66033-035,Belém/PA,Jurunas,Rua São Silvestre - de 1301/1302 a 1446/1447,-1.467286875,-48.484021850000005
266,66033-040,Belém/PA,Condor,Passagem Felicidade,-1.471109775,-48.480551750000004
267,66033-060,Belém/PA,Jurunas,Vila Osvaldina,-1.46865705,-48.4894064
268,66033-070,Belém/PA,Batista Campos,Alameda Rodrigues Pinajé,-1.46497025,-48.4864211
269,66033-080,Belém/PA,Condor,Passagem Parintins,-1.4737059750000001,-48.476906
270,66033-095,Belém/PA,Condor,Quadra G (Cj Radional II),-1.4759582999999998,-48.48378315
271,66033-107,Belém/PA,Batista Campos,Rua dos Pariquis - de 1374/1375 a 1634/1635,-1.4630443250000003,-48.48953315
272,66033-110,Belém/PA,Batista Campos,Rua dos Pariquis - de 1636/1637 a 1960/1961,-1.4611702,-48.48797746666667
273,66033-112,Belém/PA,Batista Campos,Rua São Miguel - de 535/536 a 942/943,-1.4660501,-48.484741375
274,66033-115,Belém/PA,Batista Campos,Vila Resende (Da R S Miguel),-1.4657899636363636,-48.48517924545454
275,66033-122,Belém/PA,Jurunas,Travessa dos Tupinambás - de 636/637 a 932/933,-1.4659810500000001,-48.488306025
276,66033-124,Belém/PA,Jurunas,Travessa dos Tupinambás - de 1292/1293 a 1444/1445,-1.4695859214285716,-48.48405292142856
277,66033-151,Belém/PA,Condor,Passagem Guarani,-1.47561684,-48.48681104
278,66033-170,Belém/PA,Batista Campos,Travessa Apinagés - de 132/133 a 270/271,-1.4618659,-48.491253799999996
279,66033-172,Belém/PA,Batista Campos,Rua dos Tamoios - de 1454/1455 ao fim,-1.4604660049212208,-48.49111024181405
280,66033-173,Belém/PA,Batista Campos,Vila Mimosa Bechara,-1.4672354699999999,-48.484890840000006
281,66033-186,Belém/PA,Condor,Passagem Coração de Jesus (Da R Nova Segunda),-1.4706077000000002,-48.483636974999996
282,66033-190,Belém/PA,Condor,Avenida Bernardo Sayão - de 1796/1797 a 3008/3009,-1.4768708111111113,-48.48764032222222
283,66033-192,Belém/PA,Condor,Avenida Bernardo Sayão - de 3010/3011 a 3412/3413,-1.4766213142857143,-48.47940101428571
284,66033-195,Belém/PA,Condor,Passagem São Jorge (Da R Lauro Malcher e R Gaiapós),-1.47287545,-48.478125725
285,66033-205,Belém/PA,Jurunas,Vila Almeida,-1.4642622999999997,-48.4966051
286,66033-210,Belém/PA,Batista Campos,Passagem Bragança,-1.4619355749999998,-48.488013
287,66033-230,Belém/PA,Jurunas,Rua dos Caripunas - de 590/591 a 920/921,-1.468940575,-48.492492299999995
288,66033-260,Belém/PA,Batista Campos,Passagem Dois Irmãos,-1.4640450999999999,-48.4896277
289,66033-263,Belém/PA,Batista Campos,Travessa Apinagés - de 836 a 998 - lado par,-1.4660659666666664,-48.485930266666664
290,66033-264,Belém/PA,Batista Campos,Travessa Apinagés - de 835 a 999 - lado ímpar,-1.46604005,-48.48555745
291,66033-265,Belém/PA,Batista Campos,Avenida Serzedelo Corrêa - até 548 - lado par,-1.4564864499999999,-48.49131345000001
292,66033-270,Belém/PA,Batista Campos,Passagem Dolores,-1.46568075,-48.48682345
293,66033-310,Belém/PA,Jurunas,Avenida Engenheiro Fernando Guilhon - de 541/542 a 899/900,-1.47032106,-48.48996201999999
294,66033-315,Belém/PA,Jurunas,Avenida Engenheiro Fernando Guilhon - de 901/902 a 1261/1262,-1.4679645749999999,-48.488133725
295,66033-329,Belém/PA,Batista Campos,Rua Timbiras - de 1598/1599 a 1834/1835,-1.4625681142857145,-48.48559077142857
296,66033-331,Belém/PA,Batista Campos,Rua Timbiras - de 1238/1239 a 1596/1597,-1.4648237447790684,-48.48732760417523
297,66033-333,Belém/PA,Batista Campos,Travessa Apinagés - de 1000/1001 a 1742/1743,-1.4690071285714286,-48.48190082857143
298,66033-337,Belém/PA,Jurunas,Rua dos Caripunas - de 1296/1297 a 1614/1615,-1.4640009,-48.48854609999999
299,66033-343,Belém/PA,Jurunas,Travessa Honório José dos Santos - de 556/557 a 616/617,-1.4675966,-48.49163
300,66033-355,Belém/PA,Jurunas,Vila Maria Antonieta,-1.4660411500000001,-48.490883600000004
301,66033-358,Belém/PA,Jurunas,Travessa Honório José dos Santos - de 302/303 a 554/555,-1.4665048833333332,-48.493012695833336
302,66033-362,Belém/PA,Jurunas,Travessa Honório José dos Santos - de 618/619 a 862/863,-1.4685296499999998,-48.490273425
303,66033-365,Belém/PA,Jurunas,Vila São Lourenço,-1.46696535,-48.49132315
304,66033-367,Belém/PA,Jurunas,Travessa Honório José dos Santos - de 864/865 ao fim,-1.471805575,-48.4860228
305,66033-372,Belém/PA,Jurunas,Travessa Honório José dos Santos - de 164/165 a 300/301,-1.465357,-48.4946079
306,66033-375,Belém/PA,Jurunas,Vila Trindade,-1.4753111400636243,-48.492015867134526
307,66033-385,Belém/PA,Condor,Passagem Santa Teresinha,-1.473217975,-48.482099399999996
308,66033-400,Belém/PA,Condor,Passagem Lauro Malcher,-1.472491325,-48.47881035
309,66033-420,Belém/PA,Jurunas,Avenida Roberto Camelier - de 286/287 a 744/745,-1.4657669,-48.490838600000004
310,66033-442,Belém/PA,Batista Campos,Rua dos Caripunas - de 1616/1617 a 1906/1907,-1.4620712714285715,-48.487049371428576
311,66033-447,Belém/PA,Batista Campos,Avenida Engenheiro Fernando Guilhon - de 1263/1264 a 1381/1382,-1.4661616166666667,-48.48674521666666
312,66033-450,Belém/PA,Batista Campos,Conjunto Manoel Everdosa,-1.4666212500000002,-48.4857442
313,66033-454,Belém/PA,Batista Campos,Avenida Engenheiro Fernando Guilhon - de 1383/1384 a 2209/2210,-1.4644700666666666,-48.484396200000006
314,66033-490,Belém/PA,Jurunas,Vila Marina,-1.4650881625,-48.4902694125
315,66033-530,Belém/PA,Condor,Passagem Motorizada,-1.47200465,-48.48281355
316,66033-540,Belém/PA,Condor,Passagem Nazaré,-1.473272225,-48.480258074999995
317,66033-570,Belém/PA,Condor,Rua Nova Primeira - até 294/295,-1.471153975,-48.481446275
318,66033-590,Belém/PA,Jurunas,Rua dos Pariquis - de 640/641 a 952/953,-1.4680088,-48.493500775
319,66033-610,Belém/PA,Batista Campos,Jardim Piratininga,-1.46327452,-48.488714400000006
320,66033-640,Belém/PA,Jurunas,Avenida Roberto Camelier - de 1442/1443 a 1602/1603,-1.4714449250000001,-48.48370739999999
321,66033-660,Belém/PA,Condor,Passagem Santa Ana,-1.4740331000000002,-48.48232205
322,66033-683,Belém/PA,Condor,Avenida Roberto Camelier - de 1604/1605 ao fim,-1.4744585333333333,-48.47988188333333
323,66033-716,Belém/PA,Batista Campos,Rua dos Mundurucus - de 1364/1365 a 1642/1643,-1.4623378,-48.49075085
324,66033-718,Belém/PA,Batista Campos,Rua dos Mundurucus - de 1644/1645 a 2384/2385,-1.4598690191854664,-48.4881309188517
325,66033-720,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 1691/1692 a 2153/2154,-1.4626570970369892,-48.48789264239093
326,66033-722,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 1502/1503 a 1689/1690,-1.4608026333333335,-48.49053356666666
327,66033-726,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 2155/2156 a 2425/2426,-1.4644647333333334,-48.48555356666667
328,66033-728,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 2427/2428 a 2609/2610,-1.4655526666666667,-48.48406426666667
329,66033-740,Belém/PA,Condor,Passagem São Judas Tadeu,-1.4742610250000001,-48.477824649999995
330,66033-770,Belém/PA,Batista Campos,Avenida Serzedelo Corrêa - de 549/550 ao fim,-1.4602257802672622,-48.488478968892636
331,66033-800,Belém/PA,Jurunas,Rua Timbiras - de 516/517 a 942/943,-1.469815675,-48.4914345
332,66033-810,Belém/PA,Condor,Passagem Bom Jesus (Da Tv dos Tupinambás),-1.469503,-48.482997275
333,66033-815,Belém/PA,Jurunas,Travessa dos Tupinambás - até 390/391,-1.4625932000000001,-48.492565375
334,66033-828,Belém/PA,Condor,Travessa dos Tupinambás - de 1620/1621 a 2280/2281,-1.4723666333333334,-48.48018453333333
335,66033-840,Belém/PA,Condor,Rua Gaiapós - até 519/520,-1.4739874999999998,-48.477953400000004
336,66033-845,Belém/PA,Condor,Rua dos Tambés - de 130/131 a 440/441,-1.4732005375,-48.4810194875
337,66033-850,Belém/PA,Condor,Travessa dos Tupinambás - de 1446/1447 a 1618/1619,-1.4701248550000003,-48.483222185
338,66035-045,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 1254/1255 a 1448/1449,-1.4591529571428572,-48.49259542857143
339,66035-060,Belém/PA,Nazaré,Travessa Benjamim Constant - de 1074/1075 a 1484/1485,-1.453331175,-48.488855225
340,66035-065,Belém/PA,Nazaré,Avenida Governador José Malcher - até 543/544,-1.4518738500000001,-48.490757575
341,66035-080,Belém/PA,Nazaré,Travessa Doutor Moraes - até 344/345,-1.4579762,-48.4880105
342,66035-090,Belém/PA,Nazaré,Avenida Generalíssimo Deodoro - de 1258/1259 a 1594/1595,-1.45403295,-48.482773449999996
343,66035-095,Belém/PA,Nazaré,Travessa Benjamim Constant - de 1486/1487 ao fim,-1.4568875600000002,-48.48792741999999
344,66035-115,Belém/PA,Nazaré,Avenida Nazaré - de 168/169 a 432/433,-1.453252725,-48.489988450000006
345,66035-125,Belém/PA,Nazaré,Travessa Doutor Moraes - de 470/471 a 946/947,-1.4595546522028475,-48.48732006333867
346,66035-135,Belém/PA,Nazaré,Avenida Nazaré - de 434/435 a 708/709,-1.45248964,-48.487478159999995
347,66035-145,Belém/PA,Nazaré,Avenida Nazaré - de 710/711 ao fim,-1.452219075,-48.484042
348,66035-180,Belém/PA,Nazaré,Travessa Quatorze de Março - de 1792/1793 a 2213/2214,-1.452752675,-48.480484725000004
349,66035-190,Belém/PA,Nazaré,Travessa Quintino Bocaiúva - de 1319/1320 a 1853/1854,-1.45341965,-48.4863735
350,66035-220,Belém/PA,Nazaré,Travessa Rui Barbosa - de 1084/1085 a 1595/1596,-1.453495564247776,-48.48762937544487
351,66035-265,Belém/PA,Batista Campos,Passagem Euclides da Cunha,-1.4577769,-48.4857569
352,66035-340,Belém/PA,Batista Campos,Avenida Gentil Bittencourt - de 138/139 a 744/745,-1.456179425,-48.487935225
353,66035-350,Belém/PA,Batista Campos,Avenida Conselheiro Furtado - de 1099/1100 a 1303/1304,-1.457505216751502,-48.48808768168235
354,66035-360,Belém/PA,Jurunas,Rua dos Mundurucus - de 761/762 a 1361/1362,-1.4655734999999999,-48.49332377499999
355,66035-370,Belém/PA,Batista Campos,Rua dos Pariquis - de 1962/1963 a 2272/2273,-1.4597329,-48.485656025000004
356,66035-385,Belém/PA,Nazaré,Avenida Comandante Brás de Aguiar - até 168/169,-1.4554031749999998,-48.490962100000004
357,66035-395,Belém/PA,Nazaré,Avenida Comandante Brás de Aguiar - de 170/171 a 354/355,-1.4550400166666666,-48.48914958333334
358,66035-400,Belém/PA,Nazaré,Avenida Serzedelo Corrêa - até 547 - lado ímpar,-1.4559147666666667,-48.49138126666667
359,66035-405,Belém/PA,Nazaré,Avenida Comandante Brás de Aguiar - de 356/357 a 618/619,-1.4546674200000003,-48.48745804000001
360,66035-415,Belém/PA,Nazaré,Avenida Comandante Brás de Aguiar - de 620/621 ao fim,-1.4543528,-48.48449695000001
361,66035-435,Belém/PA,Batista Campos,Avenida Conselheiro Furtado - de 1305/1306 a 1532/1533,-1.4570267250000002,-48.485809575
362,66035-442,Belém/PA,Nazaré,Travessa Rui Barbosa - de 1597/1598 a 1701/1702,-1.4564515999999998,-48.4868664
